Judul Pelatihan,Topik,Hari Pelatihan,Jam Pelatihan Per Hari,Tanggal Awal,Tanggal Akhir,Biaya Online,Biaya Offline,Online,Offline,Lokasi Pelatihan,Contact Person,No Telepon/HP,Alamat Email
Vibration  Analysis,Electrical & Engineering,2 Hari,8 Jam,15-May-25,15-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
FMEA & RCFA,Electrical & Engineering,2 Hari,8 Jam,16-Jan-25,17-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Evaluasi & Pegendalian Kinerja Pembangkit,Electrical & Engineering,2 Hari,8 Jam,15-May-25,15-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Electrical Power System Analysis Using Etap,Electrical & Engineering,2 Hari,8 Jam,05-Jun-25,06-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
HVAC System & PLC Control,Electrical & Engineering,2 Hari,8 Jam,11-Feb-25,12-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Balancing Rotating Machinery,Electrical & Engineering,2 Hari,8 Jam,05-Jun-25,06-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Coal Fired Power Plant Performance Analysis,Electrical & Engineering,2 Hari,8 Jam,11-Feb-25,12-Feb-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Budgeting & Cost Control,Electrical & Engineering,2 Hari,8 Jam,19-Jun-25,20-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Generator & Auxilliary,Electrical & Engineering,2 Hari,8 Jam,20-May-25,21-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Supervisi Pemeliharaan Pembangkit ,Electrical & Engineering,2 Hari,8 Jam,12-Jun-25,13-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Dasar Programable PLC,Electrical & Engineering,2 Hari,8 Jam,04-Mar-25,05-Mar-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
HVAC System,Electrical & Engineering,2 Hari,8 Jam,12-Jun-25,13-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pelumas dan System Pelumasan,Electrical & Engineering,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pengoperasian PLTG/PLTGU,Electrical & Engineering,2 Hari,8 Jam,07-Jul-25,08-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Transformator,Electrical & Engineering,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Mesin Diesel,Electrical & Engineering,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Deklarasi Kondisi & Indeks Kinerja Pembangkit,Electrical & Engineering,2 Hari,8 Jam,22-Apr-25,23-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Proteksi Peralatan Electrikal Pembangkit,Electrical & Engineering,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Bisnis Proses Pembangkit,Electrical & Engineering,2 Hari,8 Jam,11-Jul-25,12-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Advance Maintenance Management,Maintenance & Mechanical,2 Hari,8 Jam,16-Jul-25,17-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pengoperatian Boiler,Maintenance & Mechanical,2 Hari,8 Jam,13-Aug-25,14-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Building Management And Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Autonomous Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,24-Jun-25,25-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"COMPRESSOR; Technique, Operation and Maintenance",Maintenance & Mechanical,2 Hari,8 Jam,13-Aug-25,14-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Conveyer Operation & Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,08-Jul-25,09-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Failur Mode Effect Analysys ( FMEA ),Maintenance & Mechanical,2 Hari,8 Jam,24-Jun-25,25-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Fiber Optics Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,16-Jul-25,17-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Autonomous Maintenance : Breakdown Prevention By Operators,Maintenance & Mechanical,2 Hari,8 Jam,05-Aug-25,06-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Implementing Reliability Centered Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,16-Jul-25,17-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Implementing Total Productive Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,21-Jul-25,22-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Instrumentation Process Control,Maintenance & Mechanical,2 Hari,8 Jam,06-Aug-25,07-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Predictive And Preventive Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,13-Aug-25,14-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Reliability, Availability & Maintainability Analysis",Maintenance & Mechanical,2 Hari,8 Jam,24-Jul-25,25-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
TPM (Total Preventive Maintenance) by Machine Overhauling,Maintenance & Mechanical,2 Hari,8 Jam,29-Jan-25,30-Jan-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Pompa,Maintenance & Mechanical,2 Hari,8 Jam,13-Aug-25,14-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Compressor,Maintenance & Mechanical,2 Hari,8 Jam,12-Aug-25,13-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Reability, Avaibility, and Maintainability",Maintenance & Mechanical,2 Hari,8 Jam,23-Jul-25,24-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Switchgear,Maintenance & Mechanical,2 Hari,8 Jam,19-Aug-25,20-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Turbin,Maintenance & Mechanical,2 Hari,8 Jam,08-Sep-25,09-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Pemeliharaan Toll,Maintenance & Mechanical,2 Hari,8 Jam,22-Jul-25,23-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"PM, PDM, PRO - Active Maintenance",Maintenance & Mechanical,2 Hari,8 Jam,27-Aug-25,28-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Management Overhaul,Maintenance & Mechanical,2 Hari,8 Jam,09-Sep-25,10-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Zero Break Down through SMDE (Small Defect Elimination),Maintenance & Mechanical,2 Hari,8 Jam,11-Sep-25,12-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
"Heat Exchangers: Operation, Maintenance And Troubleshooting",Maintenance & Mechanical,2 Hari,8 Jam,21-Aug-25,22-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Integrated Maintenance And Spare Parts Management,Maintenance & Mechanical,2 Hari,8 Jam,29-Apr-25,30-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
HVAC System Operation & Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,26-Feb-25,27-Apr-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Mechanical Seal,Maintenance & Mechanical,2 Hari,8 Jam,27-May-25,28-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Perawatan Belt Conveyor,Maintenance & Mechanical,2 Hari,8 Jam,21-May-25,22-May-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Teknik Dasar Pengujian Kimia Berbasis Competensi,Maintenance & Mechanical,2 Hari,8 Jam,09-Oct-25,10-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
FMEA & RCFA,Maintenance & Mechanical,2 Hari,8 Jam,16-Oct-25,17-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Lubrication System Bearing Technology,Maintenance & Mechanical,2 Hari,8 Jam,21-Oct-25,22-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Roller Bearing & Lubrication Analysys,Maintenance & Mechanical,2 Hari,8 Jam,22-Oct-25,23-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Vibration Analysis,Maintenance & Mechanical,2 Hari,8 Jam,06-Nov-25,07-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Valve and Actuator Technologies,Maintenance & Mechanical,2 Hari,8 Jam,09-Sep-25,10-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Safety Instrumented Systems and Emergency Shutdown,Maintenance & Mechanical,2 Hari,8 Jam,11-Sep-25,12-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Lube Oil Analysis Tribology,Maintenance & Mechanical,2 Hari,8 Jam,16-Nov-25,17-Nov-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Autonomous Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,14-Oct-25,15-Oct-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Distribute Control System  (DCS) YOKOGAWA,Maintenance & Mechanical,2 Hari,8 Jam,15-Dec-25,16-Dec-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Corrosion Enginering For Non Enginer,Maintenance & Mechanical,2 Hari,8 Jam,26-Aug-25,27-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Root Cause Analysis,Maintenance & Mechanical,2 Hari,8 Jam,16-Sep-25,17-Sep-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Risk Analysys,Maintenance & Mechanical,2 Hari,8 Jam,26-Aug-25,27-Aug-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Coal Stockpile Management,Maintenance & Mechanical,2 Hari,8 Jam,16-Jul-25,17-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Maintenance Building,Maintenance & Mechanical,2 Hari,8 Jam,18-Jun-25,19-Jun-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
Boiler Operation and Maintenance,Maintenance & Mechanical,2 Hari,8 Jam,09-Jul-25,10-Jul-25,IDR 4.000.000,IDR 6.000.000,Yes,Yes,Jakarta/Bandung/Yoyakarta,Gunawan,082122836526,gunawan@united-trainingdevelopment.com
